TEMA,,PERGUNTA,PONTUAÇÃO,PESO,POR QUE ISSO É IMPORTANTE?,RELATÓRIO DE IMPACTO,DESTAQUES,,
,d,"Nossos contratos preveem cláusulas preventivas sobre a responsabilidade de se combater o trabalho infantil, o trabalho análogo à escravidão e qualquer outra violação.",4,,,"Nossos contratos preveem cláusulas preventivas sobre a responsabilidade de se combater o trabalho infantil, o trabalho análogo à escravidão e qualquer outra violação.",,,
,e,Colaboramos para movimentos e agendas transversais sobre direitos humanos e buscamos inovar para causar o letramento na sociedade.,5,,,Colaboramos para movimentos e agendas transversais sobre direitos humanos e buscamos inovar para causar o letramento na sociedade.,,,
,f,Não se aplica.,,,,,,,
Inclusão e Diversidade,9.1,Como é realizada a gestão de inclusão e diversidade na sua empresa?,,,"Empresas que valorizam a diversidade reconhecem e respeitam as diferenças entre pessoas, promovendo oportunidades iguais independentemente de gênero, raça, origem, idade, orientação sexual, deficiência ou condição social. Além de reduzir riscos de discriminação e fortalecer a cultura organizacional, iniciativas de inclusão contribuem para ampliar perspectivas, estimular a criatividade e gerar valor para a sociedade. Práticas positivas podem incluir políticas de diversidade, programas de inclusão de grupos historicamente sub-representados, contratação de pessoas com deficiência, imigrantes ou pessoas em situação de vulnerabilidade, bem como apoio a iniciativas que promovam equidade e respeito no ambiente de trabalho.",,,,
,a,Não conhecemos nossos indicadores de inclusão e diversidade.,1,,,,,"A ausência de iniciativas voltadas à inclusão e diversidade pode limitar a construção de um ambiente de trabalho plural e equitativo, além de aumentar riscos de discriminação e reduzir oportunidades de inovação e aprendizado organizacional.","Iniciar a reflexão sobre inclusão e diversidade na organização, identificando oportunidades para promover igualdade de oportunidades e respeito às diferenças no ambiente de trabalho."
,b,"Não conhecemos nossos indicadores de sustentabilidade, mas temos algumas práticas esparsas.",2,,,,,"Reconhecemos a importância da diversidade, mas não possuímos ações estruturadas","Desenvolver ações iniciais de promoção da diversidade, como sensibilização da equipe, revisão de processos de recrutamento e incentivo à igualdade de oportunidades."
,c,Temos práticas estruturadas de inclusão e diversidade.,3,abre a 9.1.A,,,,,
,d,Temos práticas estruturadas de inclusão e diversidade e conhecemos nossos indicadores.,4,abre a 9.1.A,,,,,
,e,"Somos uma empresa referência, com práticas avançadas de inclusão e diversidade.",5,abre a 9.1.A,,,,,
,f,Não se aplica.,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
10. PRÁTICAS TRABALHISTAS ,10.1,A empresa possui um manual do funcionário formalizado por escrito?,,,,,,,
,,1) A empresa não tem um manual do funcionário formalizado por escrito.,1,1,,,,,
,,"2) Apenas uma declaração de não discriminação e informações gerais sobre os horários de trabalho",2,1,,,,,
,,"3) Uma política contra o assédio com mecanismos de denúncia e processos e procedimentos disciplinares, medidas disciplinares e possíveis sanções",3,1,,,,,
,,"4) O manual do funcionário aborda além das questões anteriores políticas sobre questões de remuneração e desempenho, capacitação e licenças",4,1,,,,,
,,"5) O manual do funcionário é construido com a participação das partes interessadas, possui uma declaração de neutralidade sobre o direito dos trabalhadores à negociação coletiva e à liberdade de associação, além de regras sobre direitos humanos como a proibição do trabalho infantil e do trabalho forçado ou compulsório",5,1,,,,,
,10.2,Qual o percentual de trabalhadores são terceirizados?,,,,,,,
,,1) Mais de 70% da força de trabalho.,1,1,,,,,
,,2) Mais de 50% da força de trabalho.,2,1,,,,,
,,3) Menos de 50% da força de trabalho.,3,1,,,,,
,,"
4) Menos de 20% da força de trabalho.",4,1,,,,,
,,"


5) Não contratamos trabalhadores terceirizados.",5,1,,,,,
,10.3,Número de trabalhadores temporários no último ano fiscal?,,,,,,,
,,1) Mais de 70%,1,1,,,,,
,,2) Mais de 50%,2,1,,,,,
,,3) Menos de 50% ,3,1,,,,,
,,4) Menos de 20%,4,1,,,,,
,,5) Não contratam trabalhadores temporários.,5,1,,,,,
,10.4,A empresa oferece benefícios para aumentar a renda dos trabalhadores como a participação nos lucros e resultados ou acréscimo por produtividade. ,,,,,,,
,,1) Não,5,1,,,,,
,,2) Sim,0,1,,,,,
11. SAÚDE E SEGURANÇA,11.1,Quais os benefícios que a empresa oferece para complementar os benefícios governamentais?,,,,,,,
,,1) Cobertura por invalidez ou seguro contra acidentes.,1,1,,,,,
,,2) Seguro de vida.,2,1,,,,,
,,"
3) Seguro odontológico privado",3,1,,,,,
,,4) Seguro de saúde privado.,4,1,,,,,
,,"
5) Seguro de saúde privado complementar com extensão dos benefícios de saúde ao cônjuge e aos filhos",5,1,,,,,
,11.2,São feitas capacitações periódicas sobre o programa de saúde e segurança?,,,,,,,
,,1) Não há um programa formal de saúde e segurança,1,1,,,,,
,,"2) Fazemos capacitações em saúde e segurança para todos os trabalhadores, que inclua pelo menos uma simulação de emergência por ano.",2,1,,,,,
,,"3) Registramos e divulgamos os dados sobre lesões, acidentes, dias perdidos ou dias de ausência para todos os trabalhadores",3,1,,,,,
,,4) Possuímos um sistema formal de denúncia de questões de segurança para que os funcionários possam apresentar suas preocupações relacionadas à segurança,4,1,,,,,
,,"5) Existe uma comissão ou um funcionário responsável pela segurança ou um representante do programa de segurança que responda a um funcionário sênior (por exemplo, vice-presidente ou superior)
",5,1,,,,,
,11.3,Qual a política da empresa em relação à manipulação de substâncias ou equipamentos perigosos?,,,,,,,
,,1) Todos os trabalhadores são informados dos riscos associados ao manuseio de materiais perigosos.,1,1,,,,,
,,"2) A empresa exige que todos os trabalhadores que estão em contato com materiais perigosos usem equipamentos de proteção, incluindo roupas adequadas e proteção para os olhos e os pés.",2,1,,,,,
,,"
3) Todos os trabalhadores que estão em contato com materiais perigosos recebem capacitação inicial e continuada (pelo menos duas vezes por ano) relacionada ao armazenamento, manuseio e descarte adequados dos materiais.",3,1,,,,,
,,4) A empresa monitora a saúde de todos os funcionários que trabalham com materiais perigosos e fornece a eles check-ups de saúde anuais.,4,1,,,,,
,,"
5) A empresa realiza o monitoramento da saúde dos funcionários que trabalham em contato com materiais perigosos, fornecendo todas as instruções e materiais necessários para que não haja nenhum dano. ",5,1,,,,,
,11.4,A empresa monitora a incidência de acidentes graves e fatais no ambiente de trabalho?,,,,,,,
,,1) Não monitoramos.,1,1,,,,,
,,"
2) Monitoramos e fazemos o acompanhamento preventivo.",2,1,,,,,
,,"3) Possuímos um forte sistema de prevenção à acidentes de trabalho, além da CIPA.",3,1,,,,,
,,"4) Buscamos monitorar e prevenir os danos, assim como a empresa fez investimentos em equipamentos mais seguros.",4,1,,,,,
,,5) Temos os orgulho de reportar que não houveram acidentes no último ano fiscal.,5,1,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
12.,12.1,Qual o percentual dos seus trabalhadores são mulheres?,,,,,,,
,,1) Não monitoramos.,1,1,,,,,
,,2) Até 10%,2,1,,RELATÓRIO DE IMPACTO,,,
,,3) Entre 10% e 15%,3,1,,RELATÓRIO DE IMPACTO,,,
,,4) Entre 15% e 25%,4,1,,RELATÓRIO DE IMPACTO,,,
,,5) 50% ou mais,5,1,,RELATÓRIO DE IMPACTO,,,
,12.2,Qual o percentual dos seus trabalhadores são pessoas negras?,,,,,,,
,,1) Não monitoramos.,1,1,,,,,
,,2) Até 10%,2,1,,RELATÓRIO DE IMPACTO,,,
,,3) Entre 10% e 15%,3,1,,RELATÓRIO DE IMPACTO,,,
,,4) Entre 15% e 25%,4,1,,RELATÓRIO DE IMPACTO,,,
,,5) 50% ou mais,5,1,,RELATÓRIO DE IMPACTO,,,
,12.3,Qual o percentual dos seus trabalhadores são LGBTQIAPN+?,,,,,,,
,,1) Não monitoramos.,1,1,,,,,
,,2) Até 10%,2,1,,,,,
,,3) Entre 10% e 15%,3,1,,,,,
,,4) Entre 15% e 25%,4,1,,,,,
,,5) 50% ou mais,5,1,,,,,
,12.4,Qual o percentual dos seus trabalhadores possuem mais de 55 anos?,,,,,,,
,,1) Não monitoramos.,1,1,,,,,
,,2) Até 10%,2,1,,RELATÓRIO DE IMPACTO,,,
,,3) Entre 10% e 15%,3,1,,RELATÓRIO DE IMPACTO,,,
,,4) Entre 15% e 25%,4,1,,RELATÓRIO DE IMPACTO,,,
,,5) 50% ou mais,5,1,,RELATÓRIO DE IMPACTO,,,
,12.5,Existe uma politica de contratação inclusiva?,,,,,,,
,,1) Não,0,1,,,,,
,,2) Sim,5,1,,,,,
,12.6,Qual o percentual de trabalhadores são Pessoas Com Deficiência (PcDs)?,,,,,,,
,,1) Não monitoramos.,1,1,,,,,
,,2) Até 10%,2,1,,,,,
,,3) Entre 10% e 15%,3,1,,,,,
,,4) Entre 15% e 25%,4,1,,,,,
,,5) 50% ou mais,5,1,,,,,
