,b,"Monitoramos, mas não estabelecemos metas de redução.","*
abre a 3.1.A",,2,,,,Ausência de metas de consumo de energia,Estabelecer indicadores de eficiência energética e iniciar o monitoramento por setor ou processo produtivo.
,c,A empresa monitora e tem reduzido o seu consumo.,"*
abre a 3.1.A",,3,,"A organização monitora o consumo de energia em suas operações, permitindo acompanhar indicadores de eficiência energética.","Monitorar o consumo de energia permite conhecer o seu desempenho em outras áreas, como emissão de carbono.",,
,d,Alcançamos as metas de redução no consumo no último ano fiscal.,"*
abre a 3.1.A",,4,,"A organização monitora o consumo de energia em suas operações, permitindo acompanhar indicadores de eficiência energética.",O alcance das metas estabelecidas para o consumo de energia revela os bons resultados das suas práticas ESG,,
,e,A empresa possui tecnologias verdes implementadas para diversificar suas fontes de fornecimento de energia.,"*
abre a 3.1.A",,5,,"A organização adota estratégias de eficiência energética e diversificação de fontes, contribuindo para a transição energética.",A diversificação das metas estabelecidas para o consumo de energia revela os bons resultados das suas práticas ESG,,
,3.1.A,Consumo de energia no último ano fiscal?,,,,,,,,
,,"
[caixa de numeros] kWh",,,,,"
[caixa de numeros] kWh",,,
,3.1.B,Fontes de fornecimento de energia,,,,"Monitorar o consumo e as fontes de energia permite que a empresa identifique oportunidades de redução de desperdícios, aumente a eficiência dos processos e planeje a transição para fontes renováveis e mais responsáveis. ",,,,
,a,Fornecimento regular e geradores movidos à diesel eventualmente.,"*
não abre a 3.1.C",,1,,,,"A empresa depende exclusivamente de fontes convencionais de energia e utiliza geradores movidos a diesel em situações de contingência, o que pode aumentar as emissões de gases de efeito estufa, os custos operacionais e a exposição a riscos energéticos e climáticos.","Iniciar o monitoramento do consumo de energia e avaliar oportunidades de melhoria na eficiência energética, além de analisar a viabilidade de incorporar fontes renováveis ou tecnologias de menor impacto ambiental na matriz energética da empresa."
,b,Fornecimento regular,"*
não abre a 3.1.C",,2,,,,"Embora a empresa possua fornecimento regular de energia elétrica, ainda não incorpora fontes renováveis ou estratégias estruturadas de gestão energética, limitando oportunidades de redução de custos, emissões e riscos associados à volatilidade do mercado energético.","Monitorar o consumo energético e avaliar oportunidades de transição para fontes ecoeficientes, como energia solar ou contratação de energia renovável no mercado livre."
,c,"
Fornecimento regular e outras fontes ecoeficientes como energia solar. ","*
abre a 3.1.C",,3,,,"A empresa utiliza fontes complementares de energia ecoeficientes, demonstrando compromisso com a redução de impactos ambientais e com a diversificação de sua matriz energética.",,Expandir o uso de fontes renováveis e estabelecer metas de eficiência energética e redução de emissões associadas ao consumo de energia.
,d,Energia adquirida no mercado livre ou geração interligada de energia fotovoltaica (solar),"*
abre a 3.1.C",,4,,,"A empresa adota estratégias avançadas de gestão energética ao adquirir energia no mercado livre ou de fontes renováveis, ampliando sua autonomia energética e reduzindo impactos ambientais associados ao consumo de eletricidade.",,Manter a estratégia de contratação de energia renovável e avançar na implementação de metas de eficiência energética e monitoramento das emissões associadas ao consumo de energia.
,e,"A empresa passou por uma transição energética, possui metas de redução ou transição para fontes ecoeficientes e geração própria de energia por biodigestão ou outras tecnologias verdes. ","*
abre a 3.1.C",,5,,,"A empresa possui estratégia estruturada de transição energética, com geração própria de energia limpa ou adoção de tecnologias sustentáveis, demonstrando elevado nível de maturidade na gestão energética e no compromisso com a redução de emissões e impactos ambientais.",,"Manter e ampliar a estratégia de transição energética, estabelecendo metas de longo prazo para eficiência energética, redução de emissões e aumento da participação de fontes renováveis na matriz energética da empresa."
,3.1.C,Qual o percentual do fornecimento de energia é proveniente de fontes sustentáveis e ecoeficientes?,,,,,,,,
,,Menos de 10%,,,1,,utilizamos fontes energéticas mais eficientes,,,
,,10%,,,2,,pelo menos 10% da nossa energia provém de fontes sustentáveis,,,
,,15%,,,3,,pelo menos 15% da nossa energia provém de fontes sustentáveis,,,
,,20%,,,4,,pelo menos 20% da nossa energia provém de fontes sustentáveis,,,
,,Mais de 50%,,,5,,mais de 50% da nossa energia provém de fontes sustentáveis,,,
Gestão dos Resíduos,4.1,Como a empresa gerencia os resíduos que produz?,,,,"A gestão adequada de resíduos é um dos pilares da sustentabilidade empresarial. Monitorar a geração, separação e destinação de resíduos permite que a empresa reduza impactos ambientais, aumente a eficiência no uso de recursos e identifique oportunidades de economia circular. Empresas que adotam práticas estruturadas de gestão de resíduos contribuem para a redução da pressão sobre aterros, fortalecem cadeias de reciclagem e demonstram compromisso com padrões ESG cada vez mais exigidos por clientes, investidores e pela sociedade.",,,,
,a,Ainda não conhecemos o volume de resíduos que produzimos,,,1,,,,"A ausência de gestão estruturada de resíduos pode gerar impactos ambientais relevantes, além de riscos regulatórios e operacionais. Sem monitoramento ou segregação adequada, a empresa perde oportunidades de redução de desperdícios e de valorização de materiais recicláveis.","Identificar os tipos de resíduos gerados nas operações e implementar procedimentos básicos de segregação e destinação adequada, em conformidade com a legislação ambiental."
,b,"Ainda não conhecemos o volume de resíduos que produzimos, mas existem práticas de redução.",,,2,,,,"A ausência de gestão estruturada de resíduos pode gerar impactos ambientais relevantes, além de riscos regulatórios e operacionais. Sem monitoramento ou segregação adequada, a empresa perde oportunidades de redução de desperdícios e de valorização de materiais recicláveis.","Identificar os tipos de resíduos gerados nas operações e implementar procedimentos básicos de segregação e destinação adequada, em conformidade com a legislação ambiental."
,c,"Conheçemos o volume de residuos que produzimos, possuímos práticas de redução e temos metas estabelecidas","abre a 4.1.a, 4.1.B",,3,,,"A empresa monitora a geração de resíduos em suas operações, demonstrando compromisso com a gestão ambiental e com o controle dos impactos associados às atividades produtivas.",,Estabelecer metas de redução da geração de resíduos e ampliar iniciativas de reciclagem e reaproveitamento de materiais nos processos operacionais.
,d,"Conheçemos o nosso volume de resíduos, possuímos metas de redução e garantimos a destinação final correta com a possibilidade de reuso.","abre a 4.1.a, 4.1.B",,4,,,"A empresa adota práticas estruturadas de gestão de resíduos, incluindo monitoramento, segregação e ações de reciclagem, contribuindo para a redução de impactos ambientais e para a valorização de materiais.",,"Manter e expandir as iniciativas de redução e reciclagem, avaliando oportunidades de reaproveitamento de materiais e integração de princípios de economia circular nos processos produtivos."
,e,"Conheçemos o nosso volume de resíduo, desviamos pelo menos 50% ou mais de residuos do aterro sanitário, reutilizamos nossos resíduos como matéria-prima e batemos nossas metas do ultimo ano.","abre a 4.1.a, 4.1.B",,5,,,"A empresa possui gestão avançada de resíduos, com estratégias de economia circular e metas para redução da geração e desvio de resíduos de aterros, demonstrando elevado nível de maturidade em sustentabilidade e uso eficiente de recursos.",,"Manter e ampliar a estratégia de economia circular, estabelecendo metas de longo prazo para redução da geração de resíduos, aumento da circularidade de materiais e fortalecimento de cadeias de reciclagem e reaproveitamento."
,f,não se aplica,,,,,,,,
,4.1.A,Qual o volume total dos resíduos produzidos durante o escopo informado ou no último ano?,,,,"A gestão adequada de resíduos é um dos pilares da sustentabilidade empresarial. Monitorar a geração, separação e destinação de resíduos permite que a empresa reduza impactos ambientais, aumente a eficiência no uso de recursos e identifique oportunidades de economia circular. Empresas que adotam práticas estruturadas de gestão de resíduos contribuem para a redução da pressão sobre aterros, fortalecem cadeias de reciclagem e demonstram compromisso com padrões ESG cada vez mais exigidos por clientes, investidores e pela sociedade.",Gestão dos Resíduos,,,
,,[numeros] kgs,,,,,[numeros] kgs,,,
,4.1.B,"Desvio de aterro (reuso, reciclagem ou compostagem)",,,,,"Desvio de aterro (reuso, reciclagem ou compostagem)",,,
,,[numeros] %,,,,,[numeros] %,,,
,4.2,A empresa possui um plano de gerenciamento de resíduos?,,,,,,,,
,1,Não,"*
Não Abre o 5.2",,0,,,,"A ausência de um Plano de Gerenciamento de Resíduos limita a capacidade da empresa de organizar, monitorar e controlar a geração, segregação, armazenamento e destinação adequada dos resíduos gerados em suas operações. Além de aumentar riscos ambientais e operacionais, essa ausência pode representar não conformidade com a Política Nacional de Resíduos Sólidos (Lei nº 12.305/2010) e outras exigências regulatórias.","Elaborar e implementar um Plano de Gerenciamento de Resíduos, identificando os tipos de resíduos gerados, estabelecendo procedimentos de segregação, armazenamento e destinação ambientalmente adequada, além de definir responsabilidades e rotinas de monitoramento."
,2,Sim,abre upload,,5,,,,"A empresa possui um Plano de Gerenciamento de Resíduos, demonstrando compromisso com a gestão ambiental e com o controle adequado da geração, segregação e destinação de resíduos em suas operações.","Manter o Plano de Gerenciamento de Resíduos atualizado e monitorar sua implementação, estabelecendo indicadores de desempenho, metas de redução da geração de resíduos e ações de valorização de materiais, como reciclagem e economia circular."
Pegada ambiental do Produto ou serviço,5.1,A empresa conhece a pegada ambiental do seu produto ou serviço?,,,,,Pegada ambiental do Produto ou serviço,,,
,a,Ainda não conhecemos a pegada ambiental do nosso produto ou serviço,,,1,,,,"A empresa ainda não possui conhecimento estruturado sobre os impactos ambientais associados ao ciclo de vida de seus produtos ou serviços. Essa ausência de diagnóstico dificulta a identificação de oportunidades de redução de impactos ambientais, inovação sustentável e melhoria da eficiência no uso de recursos.","Realizar um diagnóstico inicial dos principais impactos ambientais associados aos produtos ou serviços oferecidos, identificando etapas do processo produtivo que concentram maior consumo de recursos naturais, geração de resíduos ou emissões."
,b,"Ainda não conhecemos a pegada ambiental do nosso produto ou serviço, mas existem práticas de redução de impacto",,,2,,,,"Embora existam práticas voltadas à redução de impactos ambientais, a empresa ainda não possui uma avaliação estruturada da pegada ambiental de seus produtos ou serviços, o que limita a mensuração efetiva dos resultados dessas iniciativas.","Estruturar a avaliação da pegada ambiental dos produtos ou serviços, utilizando metodologias como análise de ciclo de vida ou indicadores ambientais que permitam mensurar os impactos e orientar estratégias de melhoria contínua."
,c,"Conhecemos a pegada ambiental do nosso produto/serviço, possuímos práticas de redução do impaco e temos metas estabelecidas",,,3,,,"A empresa monitora indicadores ambientais relevantes associados aos produtos ou serviços, permitindo maior controle sobre impactos ambientais e oportunidades de melhoria.",,"Ampliar a análise para uma abordagem de ciclo de vida, identificando impactos desde a obtenção das matérias-primas até o uso e descarte do produto."
,d,"Conhecemos a pegada ambiental do nosso produto/serviço, possuímos metas de aumento da nossa ecoeficiência.",,,4,,"Conhecemos a pegada ambiental do nosso produto/serviço, possuímos metas de aumento da nossa ecoeficiência.","A empresa avalia os impactos ambientais ao longo do ciclo de vida de seus produtos ou serviços, demonstrando maturidade na gestão ambiental e maior capacidade de identificar oportunidades de melhoria e inovação.",,"Utilizar os resultados da avaliação da pegada ambiental para orientar decisões estratégicas, como melhoria de processos, escolha de matérias-primas e desenvolvimento de produtos mais sustentáveis."
,e,Conhecemos a pegada ambiental do nosso produto/serviço e investimos em design circular e outras medidas para reduzir a pegada.,,,5,,Conhecemos a pegada ambiental do nosso produto/serviço e investimos em design circular e outras medidas para reduzir a pegada.,"A empresa utiliza a avaliação da pegada ambiental como ferramenta estratégica para inovação, eco-design e melhoria contínua de seus produtos ou serviços, demonstrando elevado nível de maturidade em sustentabilidade.",,"Manter a integração da avaliação da pegada ambiental nas decisões de desenvolvimento de produtos, ampliando a transparência e comunicação dos resultados para clientes, parceiros e investidores."
